Source Table,Record ID,Product URL,Inspection Photo,Product Name,Description,Retail Price (CAD),Weight,Dimension,Brand,Good product images URLs,Downloaded Images Count,Local Image Paths,Processing Status,Processing Timestamp
Items-Bid4more,recULj3aJYUyyLeKC,https://www.lowes.com/pd/STEM-Ants-Roaches-and-Spiders-Repellent-10-oz-Home-and-Perimeter-Indoor-Outdoor-Bug-Spray/5013381251,,Extraction failed,Unable to extract data from URL and no inspection photo available,Not found,Not found,Not found,Not found,,0,,Completed,2025-07-21T22:08:24.733476
Items-Bid4more,recy7MlGr0vhsXT2J,https://www.lorealparis.ca/en-ca/superior-preference/superior-preference-lb02-ultra-light-natural-blonde,,Superior preference Superior Preference LB02 Ultra Light Natural Blonde,"New & Improved Superior Preference hair dye is suitable for all hair types and provides beautiful 100% grey coverage with up to 9 weeks of fade-defying color. Thanks to a higher concentration of dyes, this permanent hair dye has color that lasts longer, delivering a high-impact shine!",Not found,Not found,Not found,L'Oréal Paris,https://www.lorealparis.ca/-/media/project/loreal/brand-sites/oap/americas/ca/products/hair-colour/superior-preference/2022-08/packshot-resize/065338055054-preference_shade_lb02_topview.png,1,downloaded_images\Superior_preference_Superior_Preference_LB02_Ultra\image_1.png,Completed,2025-07-21T22:08:29.724552
Items-Bid4more,recLH8SuWHPh6KhaL,https://www.walmart.com/ip/Dove-Plant-Based-Cleansing-Bar-Soap-Dry-Skin-Macadamia-Milk-Willow-Lavender-Sulfate-Free-5-oz-1-Count/5063980423,,"Dove Plant-Based Cleansing Bar Soap, Dry Skin, Macadamia Milk & Willow Lavender, Sulfate Free, 5 oz, 1 Count","Dove Plant-Based Cleansing Bar Soap gently cleanses and nourishes dry skin with a creamy lather. This sulfate-free, plant-based cleanser, infused with macadamia milk and willow lavender, leaves skin feeling soft and moisturized.",Not found,5 oz,Not found,Dove,https://i5.walmartimages.com/asr/5462a420-315e-4f8f-b46c-7857a8652e14.d26a57b44c89aa3e796435a7979c7f7e.jpeg,0,,Completed,2025-07-21T22:08:34.204003
Items-Bid4more,rec2rGa6YDLKKQl4B,"https://www.lorealparisusa.com/hair-color/permanent/excellence-creme-permanent-triple-protection-hair-color#:~:text=Your%20Excellence%20just%20got%20better,TETRASODIUM%20PYROPHOSPHATE%20%E2%80%A2%20SODIUM%20SALICYLATE",,Excellence Excellence-Creme-Permanent-Triple-Protection-Hair-Color,"Your Excellence just got better. Introducing the New Triple Care Color routine that deeply cares for your hair, and with 100% gray hair coverage for all hair types, even on stubborn grays. The color creme is formulated with Pro-Keratine complex that protects as it colors.",Not found,Not found,Not found,L'Oréal Paris,https://www.lorealparisusa.com/-/media/project/loreal/brand-sites/oap/americas/us/products/hair-color/permanent/excellence-creme-permanent-triple-protection-hair-color/4-dark-brown/08-20-24/071249210529-t1.png?sc_lang=en-us,1,downloaded_images\Excellence_Excellence-Creme-Permanent-Triple-Prote\image_1.png,Completed,2025-07-21T22:08:38.622224
Items-Bid4more,recxesFdzQJkCDsRZ,https://www.amazon.ca/Outlast-Ultra-Moisture-Beauty-Packaging/dp/B01DO8P34W,,Extraction failed,Unable to extract data from URL and no inspection photo available,Not found,Not found,Not found,Not found,,0,,Completed,2025-07-21T22:08:40.257155
Items-Bid4more,recNmdbeYzZnwHT6o,https://www.walmart.ca/en/ip/Native-Volumizing-Shampoo-Cucumber-Mint-Sulfate-Paraben-Free/6000205496703,,"Native Volumizing Shampoo, Cucumber & Mint, Sulfate & Paraben Free, 487mL","Native Cucumber & Mint Sulfate-Free Shampoo uses just 10 thoughtful ingredients to bring on the bounce. This cleansing mint shampoo provides weightless lift for full, voluminous hair. Like all Native hair care products, it’s free of sulfates, parabens, silicone, and dye, and it’s vegan and cruelty-free.",CAD13.97,Not found,Not found,Native,https://i5.walmartimages.com/asr/e601e6ea-be7a-49a5-bf6d-3f72800f27d6.acdba71ac5e932015d74d81bc3cd3552.jpeg,1,downloaded_images\Native_Volumizing_Shampoo_Cucumber__Mint_Sulfate__\image_1.jpeg,Completed,2025-07-21T22:08:44.291104
Items-Bid4more,recEqYaR5S4TopDU9,https://www.dove.com/ca/en/p/exfoliating-body-scrub-pomegranate-seeds-shea-butter.html/00011111054677,,Extraction failed,Unable to extract data from URL and no inspection photo available,Not found,Not found,Not found,Not found,,0,,Completed,2025-07-21T22:08:44.940089
Items-Bid4more,rec0nLAXK9TYREvzW,https://www.dove.com/ca/en/p/exfoliating-body-scrub-pomegranate-seeds-shea-butter.html/00011111054677,,Extraction failed,Unable to extract data from URL and no inspection photo available,Not found,Not found,Not found,Not found,,0,,Completed,2025-07-21T22:08:45.194161
Items-Bid4more,rec1ijWseXkCjWlbt,https://www.dove.com/ca/en/p/exfoliating-body-scrub-pomegranate-seeds-shea-butter.html/00011111054677,,Extraction failed,Unable to extract data from URL and no inspection photo available,Not found,Not found,Not found,Not found,,0,,Completed,2025-07-21T22:08:45.466123
Items-Bid4more,recjvZhq5OfofCWd1,https://www.everymanjack.com/products/28-8oz-3-in-1-all-over-wash,,3-in-1 All Over Wash 28.8oz,"Our 3-in-1 All Over Wash simplifies your shower routine, formulated to cleanse your body while shampooing and conditioning your hair for a head-to-toe clean. It's designed for convenience and efficiency.",Not found,Not found,Not found,Every Man Jack,"http://www.everymanjack.com/cdn/shop/files/878639013704-everymanjack-AOW-28.8oz-cedarsage-main.jpg?v=1743175229, https://www.everymanjack.com/cdn/shop/files/878639013704-everymanjack-AOW-28.8oz-cedarsage-main.jpg?v=1743175229",2,"downloaded_images\3-in-1_All_Over_Wash_288oz\image_1.jpg, downloaded_images\3-in-1_All_Over_Wash_288oz\image_2.jpg",Completed,2025-07-21T22:08:50.175696
