SKU,Product Title (gemini recommended),SEO Title,Focus Keywords,SEO Meta Description,Brand,product-slug,product Tags,Image Alt Text
A00982,"Logitech Combo Touch iPad Pro 12.9-inch (5th, 6th gen - 2021, 2022) Keyboard Case - Detachable Backlit Keyboard with Kickstand, Click-Anywhere Trackpad, Smart Connector - Oxford Gray; USA Layout",Logitech Combo Touch iPad Pro 12.9-inch (5th | Logitech,"and, with, -, keyboard, ipad","Shop Logitech Combo Touch iPad Pro 12.9-inch (5th, 6th gen - 2021, 2022) Keyboard Case - Detachable Backlit Keyboard with Kickstand, Click-Anywhere Trackpad,...",Logitech,logitech-combo-touch-ipad-pro-129-inch-5th-6th-gen---2021-2022-keyboard-case---detachable-backlit-keyboard-with-kickstand-click-anywhere-trackpad-smart-connector---oxford-gray-usa-layout,"12.9-inch, ipad, with, levels, connector, 2021), touch, ipados, more, click-anywhere, keyboard, case, smart, backlit, that, combo, logitech, (5th, what, your, trackpad","Logitech Combo Touch iPad Pro 12.9-inch (5th, 6th gen - 2021, 2022) Keyboard Case - Detachable Backlit Keyboard with Kickstand, Click-Anywhere Trackpad, Smart Connector - Oxford Gray; USA Layout - Logitech"
A00984,"CRAFTSMAN Pocket Laser Distance Measurer 55-ft
","CRAFTSMAN Pocket Laser Distance Measurer 55-ft
 | CRAFTSMAN","craftsman, pocket, laser, distance, measurer","Shop CRAFTSMAN Pocket Laser Distance Measurer 55-ft
 at Pay4more. CRAFTSMAN Pocket Laser Distance Measurer 55-ft
",CRAFTSMAN,craftsman-pocket-laser-distance-measurer-55-ft-,"laser, measurer, 55-ft
, craftsman, distance, pocket","CRAFTSMAN Pocket Laser Distance Measurer 55-ft
 - CRAFTSMAN"
P00001,Hampton Bay Edson 30-inch W x 30-inch H x 12.5-inch D Shaker Style Assembled Kitchen Wall Ca,Hampton Bay Edson 30-inch W x 30-inch H x 12.5-inch D Sha...,"a, the, shaker, style, edson",Shop Hampton Bay Edson 30-inch W x 30-inch H x 12.5-inch D Shaker Style Assembled Kitchen Wall Ca at Pay4more. Demonstrating a transitional appearance that w...,Hampton Bay,hampton-bay-edson-30-inch-w-x-30-inch-h-x-125-inch-d-shaker-style-assembled-kitchen-wall-ca,"edson, style, with, 30-inch, assembled, door, that, grey, adjustable, wall, shaker",Hampton Bay Edson 30-inch W x 30-inch H x 12.5-inch D Shaker Style Assembled Kitchen Wall Ca - Hampton Bay
P00002,Hisense 30 inch W 21 cu. Ft French door Refrigerator,Hisense 30 inch W 21 cu. Ft French door Refrigerator | Hi...,"the, door, is, and, for","Shop Hisense 30 inch W 21 cu. Ft French door Refrigerator at Pay4more. The Perfect Fit - Measuring under 67 in height, this sleek Hisense French Door Refrige...",Hisense,hisense-30-inch-w-21-cu-ft-french-door-refrigerator,"perfect, french, hisense, door, refrigerator",Hisense 30 inch W 21 cu. Ft French door Refrigerator - Hisense
P00003,Unique Appliances Off-Grid 24-inch 6 cu. ft. Propane Top Freezer Counter Depth Refrigerator with,Unique Appliances Off-Grid 24-inch 6 cu. ft. Propane Top ...,"unique, a, the, propane, is",Shop Unique Appliances Off-Grid 24-inch 6 cu. ft. Propane Top Freezer Counter Depth Refrigerator with at Pay4more. The Unique 6 is the perfect entry-level up...,Unique Appliances,unique-appliances-off-grid-24-inch-6-cu-ft-propane-top-freezer-counter-depth-refrigerator-with,"unique, propane, with",Unique Appliances Off-Grid 24-inch 6 cu. ft. Propane Top Freezer Counter Depth Refrigerator with - Unique Appliances
P00004,Baxton Studio Landis Dresser in Ash Walnut and Gold,Baxton Studio Landis Dresser in Ash Walnut and Gold | Bax...,"the, landis, of, and, dresser",Shop Baxton Studio Landis Dresser in Ash Walnut and Gold at Pay4more. Configure your bedroom to fit your needs with the stunning utility and style of the Lan...,Baxton Studio,baxton-studio-landis-dresser-in-ash-walnut-and-gold,"features, dresser, wood, landis, with, bedroom, modern, your, walnut",Baxton Studio Landis Dresser in Ash Walnut and Gold - Baxton Studio
P00006,Laurel Foundry Modern Farmhouse Dash Solid Wood Coffee Table with Storage,Laurel Foundry Modern Farmhouse Dash Solid Wood Coffee Ta...,"and, for, solid, wood, your","Shop Laurel Foundry Modern Farmhouse Dash Solid Wood Coffee Table with Storage at Pay4more. Two-tone sandy beach and driftwood-inspired textured, yet smooth ...",Laurel Foundry Modern Farmhouse,laurel-foundry-modern-farmhouse-dash-solid-wood-coffee-table-with-storage,"solid, wood, storage, with, your",Laurel Foundry Modern Farmhouse Dash Solid Wood Coffee Table with Storage - Laurel Foundry Modern Farmhouse
P00007,"Husky Heavy-Duty 61"" W x 23"" D 10-Drawer Mobile Workbench with Flip-Up Pegboard - Matte Black","Husky Heavy-Duty 61"" W x 23"" D 10-Drawer Mobile Workbench...","with, and, heavy-duty, husky, to","Shop Husky Heavy-Duty 61"" W x 23"" D 10-Drawer Mobile Workbench with Flip-Up Pegboard - Matte Black at Pay4more. The Husky 61-inch W 23-inch D 10-Drawer 1-Doo...",Husky,husky-heavy-duty-61-w-x-23-d-10-drawer-mobile-workbench-with-flip-up-pegboard---matte-black,"inches, features, mobile, heavy-duty, black, flip-up, storage, husky, with, 10-drawer, pegboard, workbench, matte, drawer","Husky Heavy-Duty 61"" W x 23"" D 10-Drawer Mobile Workbench with Flip-Up Pegboard - Matte Black - Husky"
P00008,"Husky Heavy-Duty 52"" W x 20"" D 15-Drawer Tool Storage Chest and Cabinet Combo - Matte Black","Husky Heavy-Duty 52"" W x 20"" D 15-Drawer Tool Storage Che...","and, with, heavy-duty, husky, drawer","Shop Husky Heavy-Duty 52"" W x 20"" D 15-Drawer Tool Storage Chest and Cabinet Combo - Matte Black at Pay4more. The Husky 52-inch 15-Drawer Tool Chest and Cabi...",Husky,husky-heavy-duty-52-w-x-20-d-15-drawer-tool-storage-chest-and-cabinet-combo---matte-black,"combo, features, heavy-duty, black, chest, storage, husky, with, matte, tool, drawer, 15-drawer, cabinet","Husky Heavy-Duty 52"" W x 20"" D 15-Drawer Tool Storage Chest and Cabinet Combo - Matte Black - Husky"
P00009,"Husky Standard-Duty 52"" W x 18"" D 9-Drawer Mobile Workbench with Solid Wood Top - Gloss Gray","Husky Standard-Duty 52"" W x 18"" D 9-Drawer Mobile Workben...","with, husky, standard-duty, a, drawer","Shop Husky Standard-Duty 52"" W x 18"" D 9-Drawer Mobile Workbench with Solid Wood Top - Gloss Gray at Pay4more. The Husky 52-inch 9-Drawer Mobile Work Center ...",Husky,husky-standard-duty-52-w-x-18-d-9-drawer-mobile-workbench-with-solid-wood-top---gloss-gray,"solid, inches, standard-duty, gloss, features, mobile, 9-drawer, gray, heavy-duty, husky, with, workbench, drawer","Husky Standard-Duty 52"" W x 18"" D 9-Drawer Mobile Workbench with Solid Wood Top - Gloss Gray - Husky"
